tiempo,datos_ECG
0.0,2.0772238514173997
0.005,1.5786901270772238
0.01,1.5298142717497556
0.015,1.686217008797654
0.02,1.7986314760508308
0.025,1.7644183773216031
0.03,1.6764418377321604
0.035,1.6471163245356795
0.04,1.66177908113392
0.045,1.6422287390029326
0.05,1.5933528836754642
0.055,1.5884652981427174
0.06,1.6177908113391983
0.065,1.6031280547409579
0.07,1.5640273704789833
0.075,1.5591397849462365
0.08,1.5835777126099706
0.085,1.5933528836754642
0.09,1.5835777126099706
0.095,1.5933528836754642
0.1,1.6226783968719452
0.105,1.6080156402737047
0.11,1.5640273704789833
0.115,1.5640273704789833
0.12,1.6031280547409579
0.125,1.6177908113391983
0.13,1.6177908113391983
0.135,1.632453567937439
0.14,1.656891495601173
0.145,1.6471163245356795
0.15,1.6177908113391983
0.155,1.6226783968719452
0.16,1.656891495601173
0.165,1.6520039100684263
0.17,1.6226783968719452
0.17500000000000002,1.632453567937439
0.18,1.66177908113392
0.185,1.6520039100684263
0.19,1.6226783968719452
0.195,1.6226783968719452
0.2,1.66177908113392
0.20500000000000002,1.66177908113392
0.21,1.6275659824046922
0.215,1.6275659824046922
0.22,1.6715542521994136
0.225,1.6764418377321604
0.23,1.6520039100684263
0.23500000000000001,1.656891495601173
0.24,1.6959921798631477
0.245,1.6959921798631477
0.25,1.6666666666666667
0.255,1.686217008797654
0.26,1.715542521994135
0.265,1.7008797653958945
0.27,1.66177908113392
0.275,1.656891495601173
0.28,1.686217008797654
0.28500000000000003,1.6813294232649072
0.29,1.632453567937439
0.295,1.6129032258064515
0.3,1.632453567937439
0.305,1.6275659824046922
0.31,1.6031280547409579
0.315,1.6031280547409579
0.32,1.6177908113391983
0.325,1.598240469208211
0.33,1.5786901270772238
0.335,1.5835777126099706
0.34,1.6080156402737047
0.34500000000000003,1.6226783968719452
0.35000000000000003,1.5933528836754642
0.355,1.5933528836754642
0.36,1.6177908113391983
0.365,1.6080156402737047
0.37,1.5786901270772238
0.375,1.5835777126099706
0.38,1.6177908113391983
0.385,1.6177908113391983
0.39,1.5933528836754642
0.395,1.5884652981427174
0.4,1.598240469208211
0.405,1.598240469208211
0.41000000000000003,1.5884652981427174
0.41500000000000004,1.5933528836754642
0.42,1.6129032258064515
0.425,1.6080156402737047
0.43,1.5835777126099706
0.435,1.5835777126099706
0.44,1.6031280547409579
0.445,1.6031280547409579
0.45,1.5640273704789833
0.455,1.5591397849462365
0.46,1.5933528836754642
0.465,1.6031280547409579
0.47000000000000003,1.5786901270772238
0.47500000000000003,1.5640273704789833
0.48,1.5884652981427174
0.485,1.6031280547409579
0.49,1.5884652981427174
0.495,1.5786901270772238
0.5,1.6177908113391983
0.505,1.6129032258064515
0.51,1.5591397849462365
0.515,1.5689149560117301
0.52,1.6275659824046922
0.525,1.6373411534701858
0.53,1.6031280547409579
0.535,1.5884652981427174
0.54,1.6080156402737047
0.545,1.6080156402737047
0.55,1.5884652981427174
0.555,1.5786901270772238
0.56,1.598240469208211
0.5650000000000001,1.6080156402737047
0.5700000000000001,1.5933528836754642
0.5750000000000001,1.5884652981427174
0.58,1.6275659824046922
0.585,1.632453567937439
0.59,1.598240469208211
0.595,1.5933528836754642
